League,Club,Player,Position,Date of Birth,Age,Market Value
Premier League,Tottenham Hotspur,Paulo Gazzaniga,Goalkeeper,"Jan 2, 1992",27,2000000.0
Premier League,Tottenham Hotspur,Davinson Sánchez,Centre-Back,"Jun 12, 1996",22,45000000.0
Premier League,Tottenham Hotspur,Toby Alderweireld,Centre-Back,"Mar 2, 1989",30,40000000.0
Premier League,Tottenham Hotspur,Jan Vertonghen,Centre-Back,"Apr 24, 1987",31,30000000.0
Premier League,Tottenham Hotspur,Juan Foyth,Centre-Back,"Jan 12, 1998",21,12000000.0
Premier League,Tottenham Hotspur,Danny Rose,Left-Back,"Jul 2, 1990",28,25000000.0
Premier League,Tottenham Hotspur,Ben Davies,Left-Back,"Apr 24, 1993",25,25000000.0
Premier League,Tottenham Hotspur,Kieran Trippier,Right-Back,"Sep 19, 1990",28,35000000.0
Premier League,Tottenham Hotspur,Serge Aurier,Right-Back,"Dec 24, 1992",26,20000000.0
Premier League,Tottenham Hotspur,Kyle Walker-Peters,Right-Back,"Apr 13, 1997",21,3000000.0
Premier League,Tottenham Hotspur,Eric Dier,Defensive Midfield,"Jan 15, 1994",25,40000000.0
Premier League,Tottenham Hotspur,Victor Wanyama,Defensive Midfield,"Jun 25, 1991",27,25000000.0
Premier League,Tottenham Hotspur,Oliver Skipp,Defensive Midfield,"Sep 16, 2000",18,
Premier League,Tottenham Hotspur,Harry Winks,Central Midfield,"Feb 2, 1996",23,20000000.0
Premier League,Tottenham Hotspur,Moussa Sissoko,Central Midfield,"Aug 16, 1989",29,18000000.0
Premier League,Tottenham Hotspur,Dele Alli,Attacking Midfield,"Apr 11, 1996",23,100000000.0
Premier League,Tottenham Hotspur,Christian Eriksen,Attacking Midfield,"Feb 14, 1992",27,85000000.0
Premier League,Tottenham Hotspur,Heung-min Son,Left Winger,"Jul 8, 1992",26,65000000.0
Premier League,Tottenham Hotspur,Lucas Moura,Right Winger,"Aug 13, 1992",26,32000000.0
Premier League,Tottenham Hotspur,Erik Lamela,Right Winger,"Mar 4, 1992",27,20000000.0
Premier League,Tottenham Hotspur,Harry Kane,Centre-Forward,"Jul 28, 1993",25,150000000.0
Premier League,Tottenham Hotspur,Vincent Janssen,Centre-Forward,"Jun 15, 1994",24,8000000.0
Premier League,Tottenham Hotspur,Fernando Llorente,Centre-Forward,"Feb 26, 1985",34,3500000.0
Premier League,Manchester United,David de Gea,Goalkeeper,"Nov 7, 1990",28,70000000.0
Premier League,Manchester United,Sergio Romero,Goalkeeper,"Feb 22, 1987",32,5000000.0
Premier League,Manchester United,Lee Grant,Goalkeeper,"Jan 27, 1983",36,1000000.0
Premier League,Manchester United,Victor Lindelöf,Centre-Back,"Jul 17, 1994",24,35000000.0
Premier League,Manchester United,Eric Bailly,Centre-Back,"Apr 12, 1994",25,30000000.0
Premier League,Manchester United,Phil Jones,Centre-Back,"Feb 21, 1992",27,20000000.0
Premier League,Manchester United,Chris Smalling,Centre-Back,"Nov 22, 1989",29,18000000.0
Premier League,Manchester United,Marcos Rojo,Centre-Back,"Mar 20, 1990",29,15000000.0
Premier League,Manchester United,Luke Shaw,Left-Back,"Jul 12, 1995",23,25000000.0
Premier League,Manchester United,Ashley Young,Left-Back,"Jul 9, 1985",33,7000000.0
Premier League,Manchester United,Diogo Dalot,Right-Back,"Mar 18, 1999",20,15000000.0
Premier League,Manchester United,Matteo Darmian,Right-Back,"Dec 2, 1989",29,10000000.0
Premier League,Manchester United,Antonio Valencia,Right-Back,"Aug 4, 1985",33,7000000.0
Premier League,Manchester United,Nemanja Matic,Defensive Midfield,"Aug 1, 1988",30,35000000.0
Premier League,Manchester United,Paul Pogba,Central Midfield,"Mar 15, 1993",26,90000000.0
Premier League,Manchester United,Fred,Central Midfield,"Mar 5, 1993",26,35000000.0
Premier League,Manchester United,Ander Herrera,Central Midfield,"Aug 14, 1989",29,28000000.0
Premier League,Manchester United,Scott McTominay,Central Midfield,"Dec 8, 1996",22,7000000.0
Premier League,Manchester United,Juan Mata,Attacking Midfield,"Apr 28, 1988",30,25000000.0
Premier League,Manchester United,Andreas Pereira,Attacking Midfield,"Jan 1, 1996",23,8000000.0
Premier League,Manchester United,Anthony Martial,Left Winger,"Dec 5, 1995",23,60000000.0
Premier League,Manchester United,Alexis Sánchez,Left Winger,"Dec 19, 1988",30,45000000.0
Premier League,Manchester United,Jesse Lingard,Right Winger,"Dec 15, 1992",26,40000000.0
Premier League,Manchester United,Romelu Lukaku,Centre-Forward,"May 13, 1993",25,85000000.0
Premier League,Manchester United,Marcus Rashford,Centre-Forward,"Oct 31, 1997",21,80000000.0
Premier League,Arsenal FC,Bernd Leno,Goalkeeper,"Mar 4, 1992",27,25000000.0
Premier League,Arsenal FC,Petr Cech,Goalkeeper,"May 20, 1982",36,2500000.0
Premier League,Arsenal FC,Shkodran Mustafi,Centre-Back,"Apr 17, 1992",26,30000000.0
Premier League,Arsenal FC,Sokratis,Centre-Back,"Jun 9, 1988",30,20000000.0
Premier League,Arsenal FC,Rob Holding,Centre-Back,"Sep 20, 1995",23,12000000.0
Premier League,Arsenal FC,Laurent Koscielny,Centre-Back,"Sep 10, 1985",33,10000000.0
Premier League,Arsenal FC,Konstantinos Mavropanos,Centre-Back,"Dec 11, 1997",21,3000000.0
Premier League,Arsenal FC,Sead Kolasinac,Left-Back,"Jun 20, 1993",25,20000000.0
Premier League,Arsenal FC,Nacho Monreal,Left-Back,"Feb 26, 1986",33,10000000.0
Premier League,Arsenal FC,Héctor Bellerín,Right-Back,"Mar 19, 1995",24,40000000.0
Premier League,Arsenal FC,Carl Jenkinson,Right-Back,"Feb 8, 1992",27,2500000.0
Premier League,Arsenal FC,Stephan Lichtsteiner,Right-Back,"Jan 16, 1984",35,1500000.0
Premier League,Arsenal FC,Lucas Torreira,Defensive Midfield,"Feb 11, 1996",23,55000000.0
Premier League,Arsenal FC,Granit Xhaka,Defensive Midfield,"Sep 27, 1992",26,50000000.0
Premier League,Arsenal FC,Mohamed Elneny,Defensive Midfield,"Jul 11, 1992",26,10000000.0
Premier League,Arsenal FC,Aaron Ramsey,Central Midfield,"Dec 26, 1990",28,40000000.0
Premier League,Arsenal FC,Mattéo Guendouzi,Central Midfield,"Apr 14, 1999",19,30000000.0
Premier League,Arsenal FC,Denis Suárez,Central Midfield,"Jan 6, 1994",25,12000000.0
Premier League,Arsenal FC,Ainsley Maitland-Niles,Right Midfield,"Aug 29, 1997",21,7000000.0
Premier League,Arsenal FC,Mesut Özil,Attacking Midfield,"Oct 15, 1988",30,35000000.0
Premier League,Arsenal FC,Henrikh Mkhitaryan,Attacking Midfield,"Jan 21, 1989",30,30000000.0
Premier League,Arsenal FC,Alex Iwobi,Left Winger,"May 3, 1996",22,25000000.0
Premier League,Arsenal FC,Pierre-Emerick Aubameyang,Centre-Forward,"Jun 18, 1989",29,75000000.0
Premier League,Arsenal FC,Alexandre Lacazette,Centre-Forward,"May 28, 1991",27,65000000.0
Premier League,Arsenal FC,Danny Welbeck,Centre-Forward,"Nov 26, 1990",28,15000000.0
Premier League,Everton FC,Jordan Pickford,Goalkeeper,"Mar 7, 1994",25,40000000.0
Premier League,Everton FC,Maarten Stekelenburg,Goalkeeper,"Sep 22, 1982",36,1000000.0
Premier League,Everton FC,Yerry Mina,Centre-Back,"Sep 23, 1994",24,30000000.0
Premier League,Everton FC,Michael Keane,Centre-Back,"Jan 11, 1993",26,25000000.0
Premier League,Everton FC,Kurt Zouma,Centre-Back,"Oct 27, 1994",24,20000000.0
Premier League,Everton FC,Phil Jagielka,Centre-Back,"Aug 17, 1982",36,1500000.0
Premier League,Everton FC,Lucas Digne,Left-Back,"Jul 20, 1993",25,25000000.0
Premier League,Everton FC,Leighton Baines,Left-Back,"Dec 11, 1984",34,5000000.0
Premier League,Everton FC,Brendan Galloway,Left-Back,"Mar 17, 1996",23,1500000.0
Premier League,Everton FC,Seamus Coleman,Right-Back,"Oct 11, 1988",30,15000000.0
Premier League,Everton FC,Jonjoe Kenny,Right-Back,"Mar 15, 1997",22,5000000.0
Premier League,Everton FC,Morgan Schneiderlin,Defensive Midfield,"Nov 8, 1989",29,15000000.0
Premier League,Everton FC,André Gomes,Central Midfield,"Jul 30, 1993",25,28000000.0
Premier League,Everton FC,Idrissa Gueye,Central Midfield,"Sep 26, 1989",29,20000000.0
Premier League,Everton FC,Tom Davies,Central Midfield,"Jun 30, 1998",20,15000000.0
Premier League,Everton FC,James McCarthy,Central Midfield,"Nov 12, 1990",28,7000000.0
Premier League,Everton FC,Gylfi Sigurdsson,Attacking Midfield,"Sep 8, 1989",29,30000000.0
Premier League,Everton FC,Richarlison,Left Winger,"May 10, 1997",21,45000000.0
Premier League,Everton FC,Ademola Lookman,Left Winger,"Oct 20, 1997",21,20000000.0
Premier League,Everton FC,Bernard,Left Winger,"Sep 8, 1992",26,18000000.0
Premier League,Everton FC,Theo Walcott,Right Winger,"Mar 16, 1989",30,18000000.0
Premier League,Everton FC,Cenk Tosun,Centre-Forward,"Jun 7, 1991",27,20000000.0
Premier League,Everton FC,Dominic Calvert-Lewin,Centre-Forward,"Mar 16, 1997",22,15000000.0
Premier League,Leicester City,Kasper Schmeichel,Goalkeeper,"Nov 5, 1986",32,12000000.0
Premier League,Leicester City,Danny Ward,Goalkeeper,"Jun 22, 1993",25,10000000.0
Premier League,Leicester City,Eldin Jakupovic,Goalkeeper,"Oct 2, 1984",34,1000000.0
Premier League,Leicester City,Harry Maguire,Centre-Back,"Mar 5, 1993",26,45000000.0
Premier League,Leicester City,Caglar Söyüncü,Centre-Back,"May 23, 1996",22,18000000.0
Premier League,Leicester City,Jonny Evans,Centre-Back,"Jan 3, 1988",31,12000000.0
Premier League,Leicester City,Wes Morgan,Centre-Back,"Jan 21, 1984",35,2500000.0
Premier League,Leicester City,Ben Chilwell,Left-Back,"Dec 21, 1996",22,25000000.0
Premier League,Leicester City,Christian Fuchs,Left-Back,"Apr 7, 1986",33,3500000.0
Premier League,Leicester City,Ricardo Pereira,Right-Back,"Oct 6, 1993",25,20000000.0
Premier League,Leicester City,Danny Simpson,Right-Back,"Jan 4, 1987",32,4000000.0
Premier League,Leicester City,Wilfred Ndidi,Defensive Midfield,"Dec 16, 1996",22,35000000.0
Premier League,Leicester City,Nampalys Mendy,Defensive Midfield,"Jun 23, 1992",26,8000000.0
Premier League,Leicester City,Daniel Amartey,Defensive Midfield,"Dec 21, 1994",24,7000000.0
Premier League,Leicester City,Hamza Choudhury,Defensive Midfield,"Oct 1, 1997",21,1000000.0
Premier League,Leicester City,Youri Tielemans,Central Midfield,"May 7, 1997",21,22000000.0
Premier League,Leicester City,Matty James,Central Midfield,"Jul 22, 1991",27,1500000.0
Premier League,Leicester City,Marc Albrighton,Right Midfield,"Nov 18, 1989",29,10000000.0
Premier League,Leicester City,Harvey Barnes,Left Midfield,"Dec 9, 1997",21,7000000.0
Premier League,Leicester City,James Maddison,Attacking Midfield,"Nov 23, 1996",22,30000000.0
Premier League,Leicester City,Bartosz Kapustka,Attacking Midfield,"Dec 23, 1996",22,2500000.0
Premier League,Leicester City,Demarai Gray,Left Winger,"Jun 28, 1996",22,20000000.0
Premier League,Leicester City,Rachid Ghezzal,Right Winger,"May 9, 1992",26,10000000.0
Premier League,Leicester City,Jamie Vardy,Centre-Forward,"Jan 11, 1987",32,20000000.0
Premier League,Leicester City,Kelechi Iheanacho,Centre-Forward,"Oct 3, 1996",22,15000000.0
Premier League,Leicester City,Shinji Okazaki,Centre-Forward,"Apr 16, 1986",32,5000000.0
Premier League,West Ham United,Lukasz Fabianski,Goalkeeper,"Apr 18, 1985",33,5000000.0
Premier League,West Ham United,Adrián,Goalkeeper,"Jan 3, 1987",32,4000000.0
Premier League,West Ham United,Issa Diop,Centre-Back,"Jan 9, 1997",22,30000000.0
Premier League,West Ham United,Fabián Balbuena,Centre-Back,"Aug 23, 1991",27,9000000.0
Premier League,West Ham United,Angelo Ogbonna,Centre-Back,"May 23, 1988",30,8000000.0
Premier League,West Ham United,Winston Reid,Centre-Back,"Jul 3, 1988",30,7000000.0
Premier League,West Ham United,Aaron Cresswell,Left-Back,"Dec 15, 1989",29,10000000.0
Premier League,West Ham United,Arthur Masuaku,Left-Back,"Nov 7, 1993",25,7000000.0
Premier League,West Ham United,Pablo Zabaleta,Right-Back,"Jan 16, 1985",34,4000000.0
Premier League,West Ham United,Ryan Fredericks,Right-Back,"Oct 10, 1992",26,4000000.0
Premier League,West Ham United,Declan Rice,Defensive Midfield,"Jan 14, 1999",20,35000000.0
Premier League,West Ham United,Carlos Sánchez,Defensive Midfield,"Feb 6, 1986",33,1500000.0
Premier League,West Ham United,Jack Wilshere,Central Midfield,"Jan 1, 1992",27,15000000.0
Premier League,West Ham United,Pedro Obiang,Central Midfield,"Mar 27, 1992",27,8000000.0
Premier League,West Ham United,Mark Noble,Central Midfield,"May 8, 1987",31,7000000.0
Premier League,West Ham United,Manuel Lanzini,Attacking Midfield,"Feb 15, 1993",26,20000000.0
Premier League,West Ham United,Samir Nasri,Attacking Midfield,"Jun 26, 1987",31,6000000.0
Premier League,West Ham United,Felipe Anderson,Left Winger,"Apr 15, 1993",25,40000000.0
Premier League,West Ham United,Andrii Yarmolenko,Right Winger,"Oct 23, 1989",29,20000000.0
Premier League,West Ham United,Michail Antonio,Right Winger,"Mar 28, 1990",29,12000000.0
Premier League,West Ham United,Robert Snodgrass,Right Winger,"Sep 7, 1987",31,7000000.0
Premier League,West Ham United,Grady Diangana,Right Winger,"Apr 19, 1998",20,3500000.0
Premier League,West Ham United,Marko Arnautovic,Centre-Forward,"Apr 19, 1989",29,35000000.0
Premier League,West Ham United,Chicharito,Centre-Forward,"Jun 1, 1988",30,12000000.0
Premier League,West Ham United,Andy Carroll,Centre-Forward,"Jan 6, 1989",30,8000000.0
Premier League,West Ham United,Lucas Pérez,Centre-Forward,"Sep 10, 1988",30,5000000.0
Premier League,Crystal Palace,Wayne Hennessey,Goalkeeper,"Jan 24, 1987",32,5000000.0
Premier League,Crystal Palace,Vicente Guaita,Goalkeeper,"Jan 10, 1987",32,5000000.0
Premier League,Crystal Palace,Julián Speroni,Goalkeeper,"May 18, 1979",39,250000.0
Premier League,Crystal Palace,Lucas Perri,Goalkeeper,"Dec 10, 1997",21,250000.0
Premier League,Crystal Palace,Mamadou Sakho,Centre-Back,"Feb 13, 1990",29,15000000.0
Premier League,Crystal Palace,James Tomkins,Centre-Back,"Mar 29, 1989",30,8000000.0
Premier League,Crystal Palace,Jairo Riedewald,Centre-Back,"Sep 9, 1996",22,5000000.0
Premier League,Crystal Palace,Scott Dann,Centre-Back,"Feb 14, 1987",32,4000000.0
Premier League,Crystal Palace,Ryan Inniss,Centre-Back,"Jun 5, 1995",23,150000.0
Premier League,Crystal Palace,Patrick van Aanholt,Left-Back,"Aug 29, 1990",28,9000000.0
Premier League,Crystal Palace,Pape Souaré,Left-Back,"Jun 6, 1990",28,3000000.0
Premier League,Crystal Palace,Aaron Wan-Bissaka,Right-Back,"Nov 26, 1997",21,25000000.0
Premier League,Crystal Palace,Joel Ward,Right-Back,"Oct 29, 1989",29,4000000.0
Premier League,Crystal Palace,Martin Kelly,Right-Back,"Apr 27, 1990",28,3000000.0
Premier League,Crystal Palace,Luka Milivojevic,Defensive Midfield,"Apr 7, 1991",28,20000000.0
Premier League,Crystal Palace,Cheikhou Kouyaté,Defensive Midfield,"Dec 21, 1989",29,10000000.0
Premier League,Crystal Palace,James McArthur,Central Midfield,"Oct 7, 1987",31,6000000.0
Premier League,Crystal Palace,Jeffrey Schlupp,Left Midfield,"Dec 23, 1992",26,9000000.0
Premier League,Crystal Palace,Max Meyer,Attacking Midfield,"Sep 18, 1995",23,18000000.0
Premier League,Crystal Palace,Bakary Sako,Left Winger,"Apr 26, 1988",30,5000000.0
Premier League,Crystal Palace,Wilfried Zaha,Right Winger,"Nov 10, 1992",26,35000000.0
Premier League,Crystal Palace,Andros Townsend,Right Winger,"Jul 16, 1991",27,15000000.0
Premier League,Crystal Palace,Michy Batshuayi,Centre-Forward,"Oct 2, 1993",25,30000000.0
Premier League,Crystal Palace,Christian Benteke,Centre-Forward,"Dec 3, 1990",28,20000000.0
Premier League,Crystal Palace,Jordan Ayew,Centre-Forward,"Sep 11, 1991",27,8000000.0
Premier League,Crystal Palace,Connor Wickham,Centre-Forward,"Mar 31, 1993",26,3500000.0
Premier League,AFC Bournemouth,Asmir Begovic,Goalkeeper,"Jun 20, 1987",31,8000000.0
Premier League,AFC Bournemouth,Artur Boruc,Goalkeeper,"Feb 20, 1980",39,1000000.0
Premier League,AFC Bournemouth,Nathan Aké,Centre-Back,"Feb 18, 1995",24,28000000.0
Premier League,AFC Bournemouth,Chris Mepham,Centre-Back,"Nov 5, 1997",21,12000000.0
Premier League,AFC Bournemouth,Steve Cook,Centre-Back,"Apr 19, 1991",27,10000000.0
Premier League,AFC Bournemouth,Jack Simpson,Centre-Back,"Jan 8, 1997",22,500000.0
Premier League,AFC Bournemouth,Diego Rico,Left-Back,"Feb 23, 1993",26,10000000.0
Premier League,AFC Bournemouth,Charlie Daniels,Left-Back,"Sep 7, 1986",32,3500000.0
Premier League,AFC Bournemouth,Nathaniel Clyne,Right-Back,"Apr 5, 1991",28,15000000.0
Premier League,AFC Bournemouth,Adam Smith,Right-Back,"Apr 29, 1991",27,5000000.0
Premier League,AFC Bournemouth,Simon Francis,Right-Back,"Feb 16, 1985",34,2500000.0
Premier League,AFC Bournemouth,Jefferson Lerma,Defensive Midfield,"Oct 25, 1994",24,25000000.0
Premier League,AFC Bournemouth,Lewis Cook,Central Midfield,"Feb 3, 1997",22,20000000.0
Premier League,AFC Bournemouth,Dan Gosling,Central Midfield,"Feb 1, 1990",29,3500000.0
Premier League,AFC Bournemouth,Andrew Surman,Central Midfield,"Aug 20, 1986",32,2500000.0
Premier League,AFC Bournemouth,Emerson Hyndman,Central Midfield,"Apr 7, 1996",23,1000000.0
Premier League,AFC Bournemouth,David Brooks,Attacking Midfield,"Jul 8, 1997",21,20000000.0
Premier League,AFC Bournemouth,Ryan Fraser,Left Winger,"Feb 24, 1994",25,18000000.0
Premier League,AFC Bournemouth,Junior Stanislas,Left Winger,"Nov 26, 1989",29,4500000.0
Premier League,AFC Bournemouth,Jordon Ibe,Right Winger,"Dec 8, 1995",23,9000000.0
Premier League,AFC Bournemouth,Joshua King,Second Striker,"Jan 15, 1992",27,15000000.0
Premier League,AFC Bournemouth,Callum Wilson,Centre-Forward,"Feb 27, 1992",27,25000000.0
Premier League,AFC Bournemouth,Dominic Solanke,Centre-Forward,"Sep 14, 1997",21,18000000.0
Premier League,AFC Bournemouth,Lys Mousset,Centre-Forward,"Feb 8, 1996",23,3500000.0
Premier League,Fulham FC,Sergio Rico,Goalkeeper,"Sep 1, 1993",25,12000000.0
Premier League,Fulham FC,Fabri,Goalkeeper,"Dec 31, 1987",31,5000000.0
Premier League,Fulham FC,Marcus Bettinelli,Goalkeeper,"May 24, 1992",26,4000000.0
Premier League,Fulham FC,Alfie Mawson,Centre-Back,"Jan 19, 1994",25,15000000.0
Premier League,Fulham FC,Calum Chambers,Centre-Back,"Jan 20, 1995",24,14000000.0
Premier League,Fulham FC,Maxime Le Marchand,Centre-Back,"Oct 11, 1989",29,5000000.0
Premier League,Fulham FC,Tim Ream,Centre-Back,"Oct 5, 1987",31,3500000.0
Premier League,Fulham FC,Denis Odoi,Centre-Back,"May 27, 1988",30,2000000.0
Premier League,Fulham FC,Marcelo Djaló,Centre-Back,"Oct 8, 1993",25,500000.0
Premier League,Fulham FC,Joe Bryan,Left-Back,"Sep 17, 1993",25,6000000.0
Premier League,Fulham FC,Tim Fosu-Mensah,Right-Back,"Jan 2, 1998",21,7000000.0
Premier League,Fulham FC,Cyrus Christie,Right-Back,"Sep 30, 1992",26,3500000.0
Premier League,Fulham FC,André Zambo Anguissa,Defensive Midfield,"Nov 16, 1995",23,25000000.0
Premier League,Fulham FC,Kevin McDonald,Defensive Midfield,"Nov 4, 1988",30,4000000.0
Premier League,Fulham FC,Havard Nordtveit,Defensive Midfield,"Jun 21, 1990",28,4000000.0
Premier League,Fulham FC,Ibrahima Cissé,Defensive Midfield,"Feb 28, 1994",25,1500000.0
Premier League,Fulham FC,Jean Michaël Seri,Central Midfield,"Jul 19, 1991",27,30000000.0
Premier League,Fulham FC,Tom Cairney,Central Midfield,"Jan 20, 1991",28,15000000.0
Premier League,Fulham FC,Luca de la Torre,Right Midfield,"May 23, 1998",20,500000.0
